Timestamp,Active_Power,Performance_Ratio,Weather_Temperature_Celsius,Weather_Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Radiation_Global_Tilted,Radiation_Diffuse_Tilted,Date,Cluster_Label
2018-01-22 15:15:00,3.39283371,71.93062592,40.82139206,10.45990086,1008.613892,274.9815063,345.5710754,0.0,857.6025391,246.6663361,2018-01-22,2
2018-01-22 15:30:00,4.28839922,88.92764282,40.26377487,10.73510551,1021.935059,244.5414429,348.7250977,0.0,876.7904053,244.0869293,2018-01-22,2
2018-01-22 15:45:00,0.852200091,45.58975601,39.81604385,10.72510433,252.188446,239.035614,348.8770447,0.0,339.8690186,214.8314056,2018-01-22,2
2018-01-22 16:00:00,3.832966566,110.0233688,39.35370255,11.27562141,688.6166992,224.0607147,348.640564,0.0,633.4136353,209.0140381,2018-01-22,2
2018-01-22 16:15:00,0.878500044,47.97655106,40.0104599,11.04124832,294.7507629,226.5187531,346.1356201,0.0,332.9278259,209.9072571,2018-01-22,2
2018-01-22 16:30:00,1.022233367,79.85127258,38.79017639,11.42575932,227.5178833,204.9341583,346.83255,0.0,232.7584686,199.6995087,2018-01-22,2
2018-01-22 16:45:00,1.469566703,81.55444336,39.06448746,11.65950966,322.1673584,199.9795685,345.1134033,0.0,327.6264648,192.4985809,2018-01-22,2
2018-01-22 17:00:00,2.706633568,83.17694855,40.30117035,10.98540688,665.295105,207.5188293,348.1203918,0.0,591.6485596,218.9690094,2018-01-22,2
2018-01-22 17:15:00,1.511466622,69.75305939,39.84487915,10.67468834,484.0866394,174.0875092,345.7445374,0.0,393.9786072,172.5502319,2018-01-22,2
2018-01-22 17:30:00,0.663966596,69.22470093,38.79765701,11.34902668,170.0104523,155.8228149,348.6292114,0.0,174.3903503,149.7292786,2018-01-22,2
2018-01-22 17:45:00,1.221266627,79.95259094,39.053936,11.20807266,282.5316772,145.0230865,345.4438171,0.0,277.7251892,134.5050812,2018-01-22,2
2018-01-22 18:00:00,0.937833428,72.4750824,39.2841835,11.46710491,261.5976563,99.95123291,347.0100098,0.0,235.2742004,103.9250717,2018-01-22,2
2018-01-23 07:00:00,0.208499983,63.72196579,29.4241581,27.70484734,40.96777344,33.19736862,324.1158752,0.0,59.49139786,36.48437881,2018-01-23,2
2018-01-23 07:15:00,0.394499958,69.61325073,29.78248215,27.13243866,77.00450134,36.13696671,329.0704956,0.0,103.0368118,42.15071869,2018-01-23,2
2018-01-23 07:30:00,0.650633454,73.41749573,30.40089226,25.36777878,232.1050873,39.89635849,346.8474121,0.0,161.1291656,45.23163223,2018-01-23,2
2018-01-23 07:45:00,0.96176666,76.40209961,31.67680359,23.10018158,304.3162231,46.26166534,347.1035156,0.0,228.8767853,51.32612228,2018-01-23,2
2018-01-23 08:00:00,1.288533449,78.20962524,32.4622345,22.04161072,374.4599609,50.50988388,331.0075684,0.0,299.5523987,57.89495087,2018-01-23,2
2018-01-23 08:15:00,1.631066561,80.27270508,32.65835571,22.18925476,442.0923462,58.31030273,343.3132324,0.0,369.4375916,63.91583633,2018-01-23,2
2018-01-23 08:30:00,1.956766486,83.2355423,32.67073059,22.01339912,500.5787354,60.94717407,343.1224365,0.0,427.4324341,65.49175262,2018-01-23,2
2018-01-23 08:45:00,2.271133423,83.99111938,33.20625687,21.59580231,561.7681274,63.64289093,330.8655701,0.0,491.6392517,67.61789703,2018-01-23,2
2018-01-23 09:00:00,2.57529974,84.48706818,34.01409531,20.93926239,621.2744141,66.92865753,318.4157715,0.0,554.2106323,71.45484924,2018-01-23,2
2018-01-23 09:15:00,2.823066711,84.11477661,34.63680267,19.97947884,675.7476807,70.1544342,326.4811401,0.0,610.2196045,72.34883118,2018-01-23,2
2018-01-23 09:30:00,3.080933332,83.72583771,35.06065369,19.089077,732.3627319,76.12046814,329.1914063,0.0,669.0523071,75.38515472,2018-01-23,2
2018-01-23 09:45:00,3.311266422,82.99537659,36.22411346,17.43777275,787.2188721,80.69425201,330.0365906,0.0,725.3999634,80.60932159,2018-01-23,2
2018-01-23 10:00:00,3.504333258,81.68804932,36.37253952,17.11820602,839.5233154,86.23989868,330.4968567,0.0,779.9812622,84.76836395,2018-01-23,2
2018-01-23 10:15:00,3.647233725,79.94638062,36.84524536,16.05426979,903.8125,92.10453033,343.190033,0.0,829.4727173,89.19577026,2018-01-23,2
2018-01-23 10:30:00,3.848300219,79.63184357,37.58943939,14.49819374,946.151123,98.85147095,335.8218689,0.0,878.6572266,98.08629608,2018-01-23,2
2018-01-23 10:45:00,3.926733017,77.93995667,38.37036133,13.57321739,980.9433594,98.31733704,339.0014954,0.0,916.0275879,98.57534027,2018-01-23,2
2018-01-23 11:00:00,4.024166584,77.15769958,38.52893066,13.28469944,1020.48761,107.0055084,338.929718,0.0,948.274292,98.94768524,2018-01-23,2
2018-01-23 11:15:00,4.117300034,74.32492065,38.89209366,12.73389149,1058.505737,114.7823029,347.8137207,0.0,1007.199219,107.9811172,2018-01-23,2
2018-01-23 11:30:00,4.28730011,74.22479248,39.7469635,12.27436066,1084.265503,117.4647217,347.8417053,0.0,1050.200562,114.3355637,2018-01-23,2
2018-01-23 11:45:00,4.382066727,74.15187836,39.5423317,12.22035122,1111.235107,116.7603226,340.0485229,0.0,1074.469604,105.6841354,2018-01-23,2
2018-01-23 12:00:00,4.423666954,73.77752686,39.38936996,12.42883492,1124.563477,112.7894669,338.9028625,0.0,1090.173584,101.946373,2018-01-23,2
2018-01-23 12:15:00,4.565599918,75.09701538,39.48490524,11.75169373,1131.784058,110.343895,346.1004944,0.0,1105.382202,102.6640778,2018-01-23,2
2018-01-23 12:30:00,4.519632339,73.74286652,39.973629,11.71020603,1124.513794,96.69497681,323.6434326,0.0,1114.346924,102.0528564,2018-01-23,2
2018-01-23 12:45:00,4.588699818,74.23192596,39.5655098,11.60999203,1142.089478,105.9646149,340.3558044,0.0,1123.922119,111.6014328,2018-01-23,2
2018-01-23 13:00:00,4.466499805,74.3373642,40.58836746,11.40367317,1122.351196,92.97229004,334.4060364,0.0,1092.439697,110.1087265,2018-01-23,2
2018-01-23 13:15:00,4.607933521,77.00156403,40.35353851,11.40880585,1132.961548,104.9443283,347.5927734,0.0,1088.03772,115.4951172,2018-01-23,2
2018-01-23 13:30:00,4.521132469,76.14813995,40.27674866,11.3425169,1129.411499,114.1184387,335.6590881,0.0,1079.50647,121.6696777,2018-01-23,2
2018-01-23 13:45:00,4.37993288,75.49577332,40.16019821,11.21687698,1104.835938,107.0643234,339.7004395,0.0,1054.829224,115.2454834,2018-01-23,2
2018-01-23 14:00:00,4.461433411,77.76886749,41.05939484,10.46712112,1120.255859,138.6631012,346.2366943,0.0,1043.052002,132.1254883,2018-01-23,2
2018-01-23 14:15:00,4.348065853,77.90733337,40.62753677,10.54582787,1101.915039,153.8958893,346.2154236,0.0,1014.740784,128.487442,2018-01-23,2
2018-01-23 14:30:00,4.274733067,76.6022644,41.22750092,10.43448544,1081.528564,162.3473206,318.7507324,0.0,1014.622864,128.6396637,2018-01-23,2
2018-01-23 14:45:00,4.259533882,76.67726135,41.09508514,10.11391544,1072.806152,199.1505737,333.1304626,0.0,1010.026489,149.4901276,2018-01-23,2
2018-01-23 15:00:00,3.453533411,73.30601501,42.01489639,9.734711647,1001.157471,261.7023315,335.3804321,0.0,856.5670166,212.3160248,2018-01-23,2
2018-01-23 15:15:00,0.858933449,64.72132111,39.70463562,11.04066753,235.2229919,210.260437,347.9263306,0.0,241.295639,187.7810669,2018-01-23,2
2018-01-23 15:30:00,3.237333059,92.98042297,40.5428009,10.60513878,953.9295654,169.7604675,346.3754578,0.0,633.0429077,172.4005585,2018-01-23,2
2018-01-23 15:45:00,2.465799809,99.38249207,39.18979645,11.06064129,374.673584,119.9757004,347.6771545,0.0,451.1128845,125.5239182,2018-01-23,2
2018-01-23 16:00:00,2.579132795,79.47879028,41.11740112,10.2596283,771.367981,118.5106201,293.7535706,0.0,590.0105591,109.2991409,2018-01-23,2
2018-01-23 16:15:00,1.974966645,73.87179565,41.37831879,10.10212421,596.2164917,137.3085785,319.9953613,0.0,486.0918884,131.9528656,2018-01-23,2
2018-01-23 16:30:00,0.911466718,51.48538208,40.45091248,10.51188755,431.7661743,131.7480927,336.9882813,0.0,321.8801575,122.6165466,2018-01-23,2
2018-01-23 16:45:00,0.955900073,50.47797012,40.34142303,10.60528469,356.4806213,171.7566376,342.6559448,0.0,344.3086548,164.7993927,2018-01-23,2
2018-01-23 17:00:00,0.651699841,46.98740387,40.13459778,10.62630081,332.3717041,115.0467606,342.9315796,0.0,252.1758423,123.0608902,2018-01-23,2
2018-01-23 17:15:00,2.06099987,88.15281677,40.43281174,10.59263229,509.6645508,119.4215012,338.8020325,0.0,425.0881958,126.4380798,2018-01-23,2
2018-01-23 17:30:00,1.67233336,93.21615601,39.8204155,10.4730196,388.1824646,113.4241409,343.683197,0.0,326.1887512,108.9936218,2018-01-23,2
2018-01-23 17:45:00,1.374800086,76.51161194,40.15103149,10.25022984,396.1430969,121.8449554,343.2649231,0.0,326.7002563,116.6864014,2018-01-23,2
2018-01-23 18:00:00,0.394300014,45.37657928,39.72624588,10.49253273,153.8424835,96.28175354,340.2694092,0.0,157.9909973,100.1465683,2018-01-23,2
2018-02-01 07:00:00,0.168766677,49.94781113,20.67744255,77.26751709,48.19909668,39.73368454,317.1426697,1.400000095,61.43382263,35.4162674,2018-02-01,2
2018-02-01 07:15:00,0.368333369,43.05933762,21.11693001,72.92443085,92.59986877,47.45372009,288.7742615,1.400000095,155.5288696,48.60654831,2018-02-01,2
2018-02-01 07:30:00,0.63956666,70.68347931,21.81164551,66.19895935,165.1407623,69.26194763,328.010498,1.400000095,164.5148773,70.51457977,2018-02-01,2
2018-02-01 07:45:00,0.867333353,79.10613251,22.23393059,63.54813385,243.011795,61.62442398,345.5296021,1.400000095,199.3486023,67.47598267,2018-02-01,2
2018-02-01 08:00:00,1.194866657,83.91281128,23.12952805,59.40022278,312.6069946,67.97142792,345.4696045,1.400000095,258.8978882,74.68474579,2018-02-01,2
2018-02-01 08:15:00,1.525433421,84.99945068,23.67556381,55.8386879,375.3254395,76.46017456,345.5447998,1.400000095,326.2980347,85.13570404,2018-02-01,2
2018-02-01 08:30:00,1.868733406,86.03800964,23.91287041,54.50572205,440.0160217,80.90644073,345.5453796,1.400000095,394.9064941,90.50868988,2018-02-01,2
2018-02-01 08:45:00,2.214633226,87.2354126,24.62071609,47.23371887,501.6066589,89.56241608,345.5461121,1.400000095,461.5792542,99.69490814,2018-02-01,2
2018-02-01 09:00:00,2.508066177,87.95604706,25.22763062,46.23955917,560.4155884,91.54627991,345.5503235,1.400000095,518.4544678,100.3503952,2018-02-01,2
2018-02-01 09:15:00,2.780799866,87.66286469,25.17705727,44.66295624,616.4385376,97.50538635,345.5462036,1.400000095,576.7550049,106.1836243,2018-02-01,2
2018-02-01 09:30:00,3.066500187,87.80246735,25.57782555,44.43514252,677.3257446,102.8704071,345.5353394,1.400000095,634.9997559,108.2022629,2018-02-01,2
2018-02-01 09:45:00,3.582500219,87.23500061,26.0761528,43.07436752,771.4855347,149.7790833,345.536499,1.400000095,746.677002,174.3117065,2018-02-01,2
2018-02-01 10:00:00,3.123633146,83.9015274,26.24072266,44.05932999,585.1068115,241.4039001,345.536438,1.400000095,676.9046021,229.9099884,2018-02-01,2
2018-02-01 10:15:00,3.720467091,85.37265015,26.79763222,41.91220093,828.6113281,127.4504318,345.5377197,1.400000095,792.3480835,135.900177,2018-02-01,2
2018-02-01 10:30:00,3.920533895,84.56804657,27.64683533,42.61824799,881.6879883,132.9388123,345.5414124,1.400000095,842.9003906,130.5079498,2018-02-01,2
2018-02-01 10:45:00,4.068699837,83.8792572,28.1726532,42.3914566,925.7051392,135.5348816,345.5425415,1.400000095,881.9387207,133.7930756,2018-02-01,2
2018-02-01 11:00:00,4.215933323,83.56250763,27.93860817,41.1417923,969.2685547,136.4984741,345.5396423,1.400000095,917.3171997,130.7227783,2018-02-01,2
2018-02-01 11:15:00,4.279899597,81.28248596,29.01419449,40.47317886,1001.125122,132.6114197,345.546875,1.400000095,957.3569946,131.5640869,2018-02-01,2
2018-02-01 11:30:00,4.356033802,78.09903717,29.41028786,39.6247673,1042.670654,143.9312744,345.5476074,1.400000095,1014.104858,138.1185303,2018-02-01,2
2018-02-01 11:45:00,4.387300014,76.00785828,29.61628342,39.88271332,1056.419434,160.1424103,345.5519409,1.400000095,1049.484863,161.4885406,2018-02-01,2
2018-02-01 12:00:00,4.522432804,75.73049164,30.2989254,39.21028137,1081.897949,177.7602997,345.5494385,1.400000095,1085.771973,181.5977325,2018-02-01,2
2018-02-01 12:15:00,4.609066963,76.6524353,31.33160973,35.71775436,1086.912109,165.5872498,345.5583801,1.400000095,1093.262329,183.2621307,2018-02-01,2
2018-02-01 12:30:00,4.60379982,77.79837799,31.17626953,38.65771484,968.4672852,373.1824036,345.5502319,1.400000095,1075.927979,346.0847168,2018-02-01,2
2018-02-01 12:45:00,5.089632988,85.47931671,30.78840637,38.55406952,1135.295654,298.6427307,345.5475159,1.400000095,1082.586792,332.5970459,2018-02-01,2
2018-02-01 13:00:00,2.058933258,78.7149353,30.61273766,39.88290024,404.5776367,368.4875183,345.5414429,1.400000095,475.5787659,375.797821,2018-02-01,2
2018-02-01 13:15:00,5.328533173,84.01369476,31.8011837,36.9840889,1220.828369,300.9573975,345.5489502,1.400000095,1153.174072,367.541626,2018-02-01,2
2018-02-01 13:30:00,4.537500381,73.0346756,32.12281036,36.10000229,1121.121338,340.4335022,345.563385,1.400000095,1129.600586,334.2832642,2018-02-01,2
2018-02-01 13:45:00,4.789133072,77.3967514,33.16763306,36.34466934,1116.927979,187.5708466,345.5820313,1.400000095,1125.049316,253.0101624,2018-02-01,2
2018-02-01 14:00:00,4.626733303,78.12957764,32.59939957,36.69306946,1100.6604,195.1025085,345.5855713,1.400000095,1076.703979,222.997467,2018-02-01,2
2018-02-01 14:15:00,3.200466633,68.64987183,33.20635223,35.10512161,790.9155884,382.4588013,345.586792,1.400000095,847.638916,313.4902954,2018-02-01,2
